type	year	count
Biomass	2018	4.172
Coal	2018	11.044
Oil	2018	0.379
Gas	2018	33.502
Hydro	2018	1.669
Wave	2018	3.553
Nuclear	2018	8.314
Solar	2018	11.633
Storage	2018	3.769
Waste	2018	2.654
Wind	2018	19.311
